1	id	bigint	id
2	cur_date	string	日期
3	account_name	string	广告主名称
4	advert_id	bigint	广告ID
5	advert_name	string	广告名称
6	activity_type	string	广告类型
7	app_id	bigint	媒体ID
8	app_name	string	媒体名称
9	slot_id	bigint	广告位ID
10	slot_name	string	广告位名称
11	slot_tag	string	广告位标签
12	package_id	bigint	配置ID
13	package_name	string	配置名称
14	put_index	string	发券次序
15	new_trade	string	行业
16	ua	string	ua
17	is_fee	string	券类型
18	consumer_total	bigint	消耗
19	launch_count	bigint	发券
20	ef_click	bigint	计费点击
21	expose_pv	bigint	落地页曝光PV
22	change_pv	bigint	落地页转化PV
23	tag_flow_title	string	媒体流量标签
24	trade_tag	string	媒体行业标签
25	platform	string	系统平台
26	app_keywords	string	媒体关键词
27	app_tag_num	string	用户偏好行业广告
28	download_advert	bigint	支持下载类广告
29	exposure_count	bigint	券曝光
30	start_pv	bigint	APP启动PV
31	registe_pv	bigint	注册PV
32	activate_pv	bigint	激活PV
33	pay_pv	bigint	付费PV
34	entry_pv	bigint	进件PV
35	finish_pv	bigint	完件PV
36	reveive_pv	bigint	签收PV
37	material_id	bigint	素材id
38	md5_string	string	唯一键MD5加密
39	date_partition	bigint	日期分区字段yyyymmdd
40	resoure_name	string	资源名称
41	request_pv	bigint	券请求
42	activity_delivery_type	string	活动投放类型
43	activate_uv	bigint	激活UV
44	activity_id	bigint	活动id
45	promote_url	string	落地页url
46	charge_type	bigint	计费类型(1-CPC,2-CPA)
47	activity_subactivity_way	bigint	投放方式(仅投1 优投人工2 优投算法3 纯算法4 其他0)
48	depth_convert_subtype	bigint	深度优化目标
49	convert_subtype	bigint	配置中的目标转化,与subType有区别
50	orientation_app	string	定向媒体,取值：不限/自定义,自定义则为不定向，不限则为定向媒体为空
51	puttarget_type	string	投放目标类型 --1-消耗优先、2-成本优先、3-均衡投放、4-人工定向
52	tag1	string	一级标签
53	tag2	string	二级标签
54	ding_pv	bigint	定向流量
55	fit_pv	bigint	竞价流量
56	dt	string